Chinese_name,English_name,Initial,Stop_code,Fare_zone,wrl_interchange
屯門碼頭,Tuen Mun Ferry Pier,FEP,1,1,屯門
美樂,Melody Garden,MEG,10,1,兆康
蝴蝶,Butterfly,BUT,15,1,兆康
輕鐵車廠,Light Rail Depot,LRD,20,1,兆康
龍門,Lung Mun,LUM,30,1,兆康
兆禧,Siu Hei,SHE,240,1,屯門
屯門泳池,Tuen Mun Swimming Pool,TSP,250,1,屯門
豐景園,Goodview Garden,GOG,260,1,屯門
兆麟,Siu Lun,SIL,265,1,屯門
三聖,Sam Shing,SAS,920,1,屯門
青山村,Tsing Shan Tsuen,TSS,40,2,兆康
青雲,Tsing Wun,TWN,50,2,兆康
建安,Kin On,KIO,60,2,兆康
澤豐,Affluence,AFF,80,2,兆康
河田,Ho Tin,HOT,70,2,屯門
蔡意橋,Choy Yee Bridge,CYB,75,2,屯門
石排,Shek Pai,SHP,170,2,兆康
山景 (北),Shan King (North),SKN,180,2,兆康
山景 (南),Shan King (South),SKS,190,2,兆康
鳴琴,Ming Kum,MIK,200,2,屯門
大興 (北),Tai Hing (North),THN,212,2,兆康
大興 (南),Tai Hing (South),THS,220,2,兆康
銀圍,Ngan Wai,NGW,230,2,屯門
安定,On Ting,ONT,270,2,屯門
友愛,Yau Oi,YAO,275,2,屯門
市中心,Town Centre,TOC,280,2,屯門
屯門,Tuen Mun,TML,295,2,屯門
杯渡,Pui To,PUT,300,2,兆康
何福堂,Hoh Fuk Tong,HFT,310,2,兆康
新墟,San Hui,SAH,320,2,兆康
景峰,Prime View,PRV,330,2,兆康
屯門醫院,Tuen Mun Hospital,TMH,90,3,兆康
兆康,Siu Hong,SHL,100,3,兆康
麒麟,Kei Lun,KEL,110,3,兆康
青松,Ching Chung,CHC,120,3,兆康
建生,Kin Sang,KIS,130,3,兆康
田景,Tin King,TNK,140,3,兆康
良景,Leung King,LEK,150,3,兆康
新圍,San Wai,SAW,160,3,兆康
鳳地,Fung Tei,FUT,340,3,兆康
藍地,Lam Tei,LTE,350,3,兆康
泥圍,Nai Wai,NAW,360,3,兆康
鍾屋村,Chung Uk Tsuen,CUT,370,3,天水圍
洪水橋,Hung Shui Kiu,HSK,380,4,天水圍
塘坊村,Tong Fong Tsuen,TOF,390,4,天水圍
屏山,Ping Shan,PIS,400,4,元朗
坑尾村,Hang Mei Tsuen,HMT,425,4,天水圍
天水圍,Tin Shui Wai,TSL,430,4,天水圍
天慈,Tin Tsz,TIT,435,4,天水圍
天耀,Tin Yiu,TIY,445,4,天水圍
樂湖,Locwood,LOC,448,4,天水圍
天湖,Tin Wu,TWU,450,4,天水圍
銀座,Ginza,GIN,455,4,天水圍
天瑞,Tin Shui,TSU,460,4,天水圍
翠湖,Chestwood,CHE,490,4,天水圍
水邊圍,Shui Pin Wai,SPW,560,5,元朗
豐年路,Fung Nin Road,FNR,570,5,元朗
康樂路,Hong Lok Road,HLR,580,5,元朗
大棠路,Tai Tong Road,TTR,590,5,元朗
元朗,Yuen Long,YLL,600,5,元朗
頌富,Chung Fu,CHF,468,6,天水圍
天富,Tin Fu,TFU,480,6,天水圍
天榮,Tin Wing,TWI,500,6,天水圍
天悅,Tin Yuet,TYU,510,6,天水圍
天秀,Tin Sau,TSA,520,6,天水圍
濕地公園,Wetland Park,WEP,530,6,天水圍
天恒,Tin Heng,THE,540,6,天水圍
天逸,Tin Yat,TYA,550,6,天水圍
